,xni,str,step,dy_m,dy_std
309,0.12,150,500.0,2251.7945472181996,411.6177045971263
310,0.12,150,520.0,2561.7043742943024,234.3049177818971
311,0.12,150,540.0,2651.568333133072,260.64104016356464
312,0.12,150,560.0,2564.8440516314613,
313,0.12,150,580.0,2653.4146732825398,
314,0.25,50,80.0,80.55128703104364,49.38034911101726
315,0.25,50,100.0,88.14930489335217,52.32474368108063
316,0.25,50,120.0,92.75396299760874,46.442868048504685
317,0.25,50,140.0,93.79467419082566,43.44399365790268
318,0.25,50,160.0,92.81341701509503,43.6706212572373
319,0.25,50,180.0,93.49658246665157,42.68053648386885
320,0.25,50,200.0,94.25648231672741,43.31363055615578
321,0.25,50,220.0,94.71828640631465,41.47941911908629
322,0.25,50,240.0,94.64778769784195,43.01498289766292
323,0.25,50,260.0,96.62425431112075,39.559751016679876
324,0.25,50,280.0,96.67808093623344,42.208712826086106
325,0.25,50,300.0,96.51197891890743,42.29490118804653
326,0.25,50,320.0,97.16177060181789,41.40837797843828
327,0.25,50,340.0,97.7887440827929,39.200073090090626
328,0.25,50,360.0,98.21396185504472,40.061021631744644
329,0.25,50,380.0,97.5606746615104,40.59261136827993
330,0.25,50,400.0,97.01196289081409,40.95548972535625
331,0.25,50,420.0,97.76001270259518,39.88822460127709
332,0.25,50,440.0,97.67491721169182,42.60907032820882
333,0.25,50,460.0,94.67314069387284,41.35435537810263
334,0.25,50,480.0,96.68917654434729,38.184122688860185
335,0.25,50,500.0,97.8744531521519,39.39039280348481
336,0.25,50,520.0,97.11112868610901,40.038746398116366
337,0.25,50,540.0,124.16812040437021,
338,0.25,75,80.0,174.23009584678303,10.821769018450398
339,0.25,75,100.0,183.52025140493743,13.856863365518459
340,0.25,75,120.0,190.15420862569314,18.380094791569643
341,0.25,75,140.0,193.97022195165732,19.15751668374948
342,0.25,75,160.0,195.83904892188608,20.787589950339687
343,0.25,75,180.0,198.94006522214795,21.769386462781338
344,0.25,75,200.0,201.25500525168945,23.09686760649845
345,0.25,75,220.0,202.1848780677617,21.9885079945473
346,0.25,75,240.0,204.79269442511531,24.950371781411526
347,0.25,75,260.0,206.4920002236237,28.44320350000331
348,0.25,75,280.0,211.73934897215736,30.47266420534879
349,0.25,75,300.0,215.25586900829921,32.47457611459897
350,0.25,75,320.0,216.69652023801518,35.640978046939345
351,0.25,75,340.0,217.37670158651335,34.94262030722668
352,0.25,75,360.0,218.170367048462,36.78654187788088
353,0.25,75,380.0,218.94019522266456,36.88116003569034
354,0.25,75,400.0,220.20871360658717,36.95647842478295
355,0.25,75,420.0,221.63372304694803,39.32663800794544
356,0.25,75,440.0,223.49186725330557,39.46840053895783
357,0.25,75,460.0,224.32504947404308,41.38764365567851
358,0.25,75,480.0,226.54714230324134,44.46062826269704
359,0.25,75,500.0,230.4905900659976,48.00723833327986
360,0.25,75,520.0,234.9374577599107,56.09137738688004
361,0.25,75,540.0,241.5302453061663,64.00361014085829
362,0.25,100,80.0,185.38867722557472,18.1066005874782
363,0.25,100,100.0,199.44884404943025,15.068345708559496
364,0.25,100,120.0,210.7853338819973,0.952613360059845
365,0.25,100,140.0,215.4223649003556,0.49574760440598375
366,0.25,100,160.0,222.7925720640585,7.48166398674912
367,0.25,100,180.0,226.5904476428113,1.6667645821372945
368,0.25,100,200.0,228.6423448940509,0.14589760298388532
369,0.25,100,220.0,229.1710257353468,1.4702032471486797
370,0.25,100,240.0,235.24337960825488,8.580380323986283
371,0.25,100,260.0,240.14895521252478,6.201985765839482
372,0.25,100,280.0,246.80190350128646,12.915194320688348
373,0.25,100,300.0,252.14488174828324,20.473338959830194
374,0.25,100,320.0,259.75267068997505,28.15433512330438
375,0.25,100,340.0,272.6162766238027,40.435354467921144
376,0.25,100,360.0,285.6594420956092,55.40964261375796
377,0.25,100,380.0,296.63282898340736,64.07934145746998
378,0.25,100,400.0,302.2935406707727,72.76348354298914
379,0.25,100,420.0,308.1503096761171,77.5796759041212
380,0.25,100,440.0,315.3322672412507,77.22126291041535
381,0.25,100,460.0,323.4803684650123,70.80993557657497
382,0.25,100,480.0,337.4674842727139,60.54127150237726
